config,query_type,pk_mean,rk_mean,rca_mean
BM25-Only,contrastive,0.2931,0.6964,0.3851
BM25-Only,cross_scenario,0.5441,0.3221,0.2344
BM25-Only,error_code,0.7965,0.5913,0.3484
BM25-Only,failure_tracing,0.6546,0.4997,0.3384
BM25-Only,impact_analysis,0.5619,0.5647,0.31
BM25-Only,multi_hop,0.3864,0.4168,0.2939
BM25-Only,root_cause,0.6467,0.5132,0.2886
BM25-Only,temporal,0.5905,0.5257,0.3285
Dense-Only,contrastive,0.4994,0.3079,0.382
Dense-Only,cross_scenario,0.4471,0.2528,0.2815
Dense-Only,error_code,0.714,0.5845,0.4163
Dense-Only,failure_tracing,0.6089,0.4659,0.2892
Dense-Only,impact_analysis,0.56,0.503,0.2984
Dense-Only,multi_hop,0.4234,0.5006,0.2491
Dense-Only,root_cause,0.5685,0.5613,0.3447
Dense-Only,temporal,0.4944,0.5004,0.2702
Full-System,contrastive,0.767,0.7019,0.4681
Full-System,cross_scenario,0.6325,0.5664,0.206
Full-System,error_code,0.9143,0.8985,0.5465
Full-System,failure_tracing,0.7699,0.6944,0.409
Full-System,impact_analysis,0.7768,0.8071,0.2968
Full-System,multi_hop,0.5512,0.579,0.3187
Full-System,root_cause,0.8174,0.7049,0.2833
Full-System,temporal,0.7253,0.7591,0.3482
Hybrid,contrastive,0.623,0.7349,0.5098
Hybrid,cross_scenario,0.6576,0.3836,0.1491
Hybrid,error_code,0.894,0.825,0.3244
Hybrid,failure_tracing,0.6884,0.6198,0.295
Hybrid,impact_analysis,0.7,0.6521,0.4013
Hybrid,multi_hop,0.5186,0.5312,0.2514
Hybrid,root_cause,0.7434,0.6432,0.3287
Hybrid,temporal,0.671,0.6411,0.3167
Hybrid+Iter,contrastive,0.27,0.5589,0.2186
Hybrid+Iter,cross_scenario,0.4952,0.4791,0.3916
Hybrid+Iter,error_code,0.8472,0.8374,0.4124
Hybrid+Iter,failure_tracing,0.7138,0.768,0.3014
Hybrid+Iter,impact_analysis,0.5889,0.7944,0.2719
Hybrid+Iter,multi_hop,0.4582,0.5999,0.2524
Hybrid+Iter,root_cause,0.629,0.7024,0.4077
Hybrid+Iter,temporal,0.6176,0.624,0.3697
Hybrid+Rerank,contrastive,0.5113,0.832,0.3618
Hybrid+Rerank,cross_scenario,0.6547,0.5581,0.3768
Hybrid+Rerank,error_code,0.9811,0.8736,0.4226
Hybrid+Rerank,failure_tracing,0.8436,0.8133,0.4087
Hybrid+Rerank,impact_analysis,0.8491,0.7406,0.3187
Hybrid+Rerank,multi_hop,0.6368,0.5651,0.2115
Hybrid+Rerank,root_cause,0.7974,0.7068,0.3374
Hybrid+Rerank,temporal,0.7427,0.6758,0.3513
